Centre_ID,Centre_Title,Registration_Provider,Person_in_Charge,County,Maximum_Occupancy,Registration_Date,Registration_Conditions,Company_Directors,Chief_Inspector_Note,URL
8310,"1-5 Filgate Park","Talbot Care Unlimited Company","Danielle Doogan",Louth,10,25-08-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 21/07/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 10.","John O'Halloran,  Neil Marvell,  Helen Murphy,  Laverne McGuinness",,https://www.hiqa.ie/areas-we-work/find-a-centre/1-5-filgate-park
2091,"124 Gracepark Road","ChildVision Company Limited by Guarantee","Caroline McGarrity",Dublin,5,15-11-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 07/09/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 5.","Ray Bowe,  Maureen Winston,  Vincent Keenan,  Joseph O'Reilly,  Marian Harte,  Michael Monaghan,  Raffaella Bonomonte,  Maureen Mulligan,  Shane Cowley",,https://www.hiqa.ie/areas-we-work/find-a-centre/124-gracepark-road
2092,"150 Gracepark Road","ChildVision Company Limited by Guarantee","Christine Richardson",Dublin,6,19-02-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 22/06/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or younger shall be accommodated at the designated centre at any time,  with the exception of young people completing their final year of second level education.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 6.","Ray Bowe,  Maureen Winston,  Vincent Keenan,  Joseph O'Reilly,  Marian Harte,  Michael Monaghan,  Raffaella Bonomonte,  Maureen Mulligan,  Shane Cowley",,https://www.hiqa.ie/areas-we-work/find-a-centre/150-gracepark-road
2094,"16 Sion Hill Road","ChildVision Company Limited by Guarantee","Mary Rheinisch",Dublin,5,15-11-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 07/09/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 5.","Ray Bowe,  Maureen Winston,  Vincent Keenan,  Joseph O'Reilly,  Marian Harte,  Michael Monaghan,  Raffaella Bonomonte,  Maureen Mulligan,  Shane Cowley",,https://www.hiqa.ie/areas-we-work/find-a-centre/16-sion-hill-road
2095,"31 Ormond Road","ChildVision Company Limited by Guarantee","Jeanette Sally Bay",Dublin,4,15-11-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 12/09/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 4.","Ray Bowe,  Maureen Winston,  Vincent Keenan,  Joseph O'Reilly,  Marian Harte,  Michael Monaghan,  Raffaella Bonomonte,  Maureen Mulligan,  Shane Cowley",,https://www.hiqa.ie/areas-we-work/find-a-centre/31-ormond-road
2392,"36 Elmwood Park","St Michael's House","Lynda Yeates",Dublin,6,25-07-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 11/02/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 6.","Denis O'Connor,  Jean Lane,  Ken Gormley,  Shahla Sabetina,  Susan Kent,  Ray McKenna,  Eoin McVey,  Ciaran Bolger,  Deirdre Moran,  Anthony Staines,  Tom Casey,  Liam O'Donohoe,  Mairtin MacAodha",,https://www.hiqa.ie/areas-we-work/find-a-centre/36-elmwood-park
5397,"47/48 Towerview","Health Service Executive","Danielle Reilly",Westmeath,7,17-10-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 08/06/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 7.",,,https://www.hiqa.ie/areas-we-work/find-a-centre/4748-towerview
2393,"49 Rathbeale Road","St Michael's House","Martina Dodrill",Dublin,5,25-07-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 21/01/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 5.","Denis O'Connor,  Jean Lane,  Ken Gormley,  Shahla Sabetina,  Susan Kent,  Ray McKenna,  Eoin McVey,  Ciaran Bolger,  Deirdre Moran,  Anthony Staines,  Tom Casey,  Liam O'Donohoe,  Mairtin MacAodha",,https://www.hiqa.ie/areas-we-work/find-a-centre/49-rathbeale-road
2365,"A Bettystown Avenue","St Michael's House","Ethel Maguire",Dublin,6,28-10-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 04/08/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 6","Denis O'Connor,  Jean Lane,  Ken Gormley,  Shahla Sabetina,  Susan Kent,  Ray McKenna,  Eoin McVey,  Ciaran Bolger,  Deirdre Moran,  Anthony Staines,  Tom Casey,  Liam O'Donohoe,  Mairtin MacAodha",,https://www.hiqa.ie/areas-we-work/find-a-centre/bettystown-avenue
2332,"A Canices Road","St Michael's House","Rosaleen Keane",Dublin,6,01-09-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 21/02/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 6.","Denis O'Connor,  Jean Lane,  Ken Gormley,  Shahla Sabetina,  Susan Kent,  Ray McKenna,  Eoin McVey,  Ciaran Bolger,  Deirdre Moran,  Anthony Staines,  Tom Casey,  Liam O'Donohoe,  Mairtin MacAodha",,https://www.hiqa.ie/areas-we-work/find-a-centre/canices-road
